link,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
https://lightconemedia.org/media/14/7153.mp4,Surf and Seaweed,Steiner,1931,"Made a couple of years after H2O, Surf and Seaweed focuses on ocean tides swirling and surging, carrying seaweed and leaving marks on the soft sand. ",Documentary; cine-poem; experimental,United States,,,"Light Cone; courtesy of MoMA, https://lightcone.org/en/film-10359-surf-and-seaweed",W2750,Image;MovingImage,video/mp4,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2b/Taris%2C_roi_de_l%27eau_%281931%29_par_Jean_Vigo.webm/Taris%2C_roi_de_l%27eau_%281931%29_par_Jean_Vigo.webm.1080p.vp9.webm,"Jean Taris, Swimming Champion",Vigo,1931,"A short documentary about the swimmer Jean Taris, featuring Vigo's novel techniques that highlight the swimmer's moving body. It was filmed mostly at the Automobile Club of France in Paris. ",Documentary,"Paris, France",48.86708208,2.32153554,,,Image;MovingImage,video/mp4,french,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.cinematheque.fr/henri/film/48395-l-or-des-mers-jean-epstein-1932/,L'Or des mers,Epstein,1932,L'or des mer tells the story of an old Breton fisherman who finds a box of treasure from a washed up shipwreck. ,French impressionism,"Hoëdic, Brittany, France",47.34205207,-2.877341879,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",,Image;MovingImage,video/mp4,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/84561-les-berceaux-jean-epstein-1932/,Les Berceaux,Epstein,1932,Epstein experimented with metaphors and sound in this short film featuring Sully Prudhomme's poem set to the music of Gabriel Faure,phonogenie; French impressionism; experimental,"Ouessant, Brittany, France",48.46077326,-5.091750978,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",,Image;MovingImage,video/mp4,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://i.imgur.com/vbycAeY.jpeg,Boudu Saved From Drowning,Renoir,1932,"Renoir's 1932 social satire film: Boudu, saved from drowning in River Seine by a middle class family and is given a second chance at a new life, challenges the newly learned manners and transgresses all rules. The film starts as Boudu takes a suicidal jump into the Seine from Pont des Arts. ",social realism; satire,"Paris, France",48.85835296,2.337497668,,,Image;StillImage,image/jpeg,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=YnHt0OuMl5Q,The Water Magician [Taki no shiraito],Mizoguchi,1933,A young woman is a travelling performer with a water-juggling act. She falls in love with a carriage driver. The film is still occasionally shown with a live benshi narration.  ,melodrama; ,"Kanazawa, Ishikawa, Japan",36.57805604,136.6600521,,,Image;MovingImage,video/mp4,Japanese,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.youtube.com/watch?v=dsxEGOhtsu8,"Japanese Girls at the Harbor 港の日本娘, Minato no nihon musume",Shimizu,1933,Two schoolgirls drift apart when one of them falls for a boy with a motorcycle. ,melodrama; ,"Yokohama, Kanagawa, Japan",35.44877541,139.66383,,,Image;MovingImage,video/mp4,Japanese,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://mubi.com/en/films/the-sea-horse/trailer,The Seahorse,Painlevé,1933,A close look at the reproductive cycle of seahorses.,documentary; science; animal,"Montparnasse, Paris, France",48.84226705,2.317341527,,,,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/48313-chanson-d-armor-jean-epstein-1934/,Chanson d’Ar-mor,Epstein,1934,"Known as the first Breton-language film in history, Chanson d'Ar-mor is a poetic story of a Breton fisherman's impossible romance.  ",French impressionism; photogenie; ,"Brest, Brittany, France",48.38773754,-4.485411361,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",,Image;MovingImage,video/mp4,Breton,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=Cwmc05qW0xc,Man of Aran,Flaherty,1934,"Man of Aran is a fictional documentary about the people living on the Aran Islands off the western coast of Ireland. Much of the film is a fabrication: for example, the family members are unrelated; the fishermen were not in danger. ",Documentary; ethnography; surrealism,"Inishmore, Aran Islands, Ireland",53.12894614,-9.719462094,,,Image;MovingImage,video/mp4,"English, Irish",Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
